artist_names,track_name,peak_rank,weeks_on_chart
"benny blanco, BTS, Snoop Dogg",Bad Decisions (with BTS & Snoop Dogg),15,1
OneRepublic,I Ain't Worried,13,10
"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),7,7
Central Cee,Doja,15,3
Beyoncé,BREAK MY SOUL,12,8
Lizzo,About Damn Time,9,15
"DJ Khaled, Drake, Lil Baby",STAYING ALIVE (feat. Drake & Lil Baby),21,1
"Bad Bunny, Jhay Cortez",Tarot,9,14
"Shakira, Rauw Alejandro",Te Felicito,13,16
Rosa Linn,SNAP,26,5
Harry Styles,Late Night Talking,2,12
"Bad Bunny, Rauw Alejandro",Party,6,14
"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),10,10
"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),7,8
Chris Brown,Under The Influence,32,3
"Nicky Youre, dazy",Sunroof,28,14
"James Hype, Miggy Dela Rosa",Ferrari,36,10
"Bad Bunny, Tony Dize",La Corriente,17,14
"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),2,83
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),26,10
The Weeknd,Die For You,41,26
Stephen Sanchez,Until I Found You,30,14
Jack Harlow,First Class,2,18
"Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")",33,4
Bad Bunny,Después de la Playa,7,14
Rels B,cómo dormiste?,53,1
"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",45,9
"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),53,12
Beyoncé,ALIEN SUPERSTAR,24,2
"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),10,15
Bad Bunny,Un Ratito,10,14
Duki,GIVENCHY,25,3
Bad Bunny,Neverita,15,14
The Weeknd,Call Out My Name,1,42
Taylor Swift,august,11,7
Feid,Normal,57,5
Beyoncé,CUFF IT,30,2
"The Weeknd, Gesaffelstein",I Was Never There,17,10
"Polimá Westcoast, Pailita, Feid, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,44,8
Yung Gravy,Betty (Get Money),78,5
Lasso,Ojos Marrones,72,6
Metallica,Master Of Puppets,20,6
"The Weeknd, Daft Punk",Starboy,1,97
"Bad Bunny, Buscabulla",Andrea,21,14
Bad Bunny,Un Coco,25,14
Feid,Si Te La Encuentras Por Ahí,86,1
"Imanbek, BYOR",Belly Dancer,77,11
Burna Boy,Last Last,93,5
Bad Bunny,Dos Mil 16,19,14
